type;brand;category;sku;ean;name;hexa;colorName;description;size
Men;Polo Ralph Lauren;KNITS;1236636;3611589164518;Classic-Fit Mesh Polo Shirt;;Carmel Pink;Ralph Lauren debuted his original polo shirt in 1972, and today the iconic style is offered in a wide array of colors and fits. This short-sleeve version is made from breathable cotton mesh and cut for a roomy silhouette. What’s more, the tennis tail helps keep the shirt in place when tucked in, and our signature embroidered pony gives it a classic touch.;S
Men;Polo Ralph Lauren;KNITS;1236636;3611589164525;Classic-Fit Mesh Polo Shirt;;Carmel Pink;Ralph Lauren debuted his original polo shirt in 1972, and today the iconic style is offered in a wide array of colors and fits. This short-sleeve version is made from breathable cotton mesh and cut for a roomy silhouette. What’s more, the tennis tail helps keep the shirt in place when tucked in, and our signature embroidered pony gives it a classic touch.;M
Men;Polo Ralph Lauren;KNITS;1236636;3611589164532;Classic-Fit Mesh Polo Shirt;;Carmel Pink;Ralph Lauren debuted his original polo shirt in 1972, and today the iconic style is offered in a wide array of colors and fits. This short-sleeve version is made from breathable cotton mesh and cut for a roomy silhouette. What’s more, the tennis tail helps keep the shirt in place when tucked in, and our signature embroidered pony gives it a classic touch.;L
Men;Polo Ralph Lauren;KNITS;1236636;3611589164549;Classic-Fit Mesh Polo Shirt;;Carmel Pink;Ralph Lauren debuted his original polo shirt in 1972, and today the iconic style is offered in a wide array of colors and fits. This short-sleeve version is made from breathable cotton mesh and cut for a roomy silhouette. What’s more, the tennis tail helps keep the shirt in place when tucked in, and our signature embroidered pony gives it a classic touch.;XL
Men;Polo Ralph Lauren;KNITS;1236636;3611589164556;Classic-Fit Mesh Polo Shirt;;Carmel Pink;Ralph Lauren debuted his original polo shirt in 1972, and today the iconic style is offered in a wide array of colors and fits. This short-sleeve version is made from breathable cotton mesh and cut for a roomy silhouette. What’s more, the tennis tail helps keep the shirt in place when tucked in, and our signature embroidered pony gives it a classic touch.;XXL
Women;Polo Ralph Lauren;BELTS;1237884;3614711503469;Logo Pebbled Leather Belt;#000000;BLACK;"An oversized version of our signature ""LRL"" plaque adds a bold note to this sleek belt.";XS
Women;Polo Ralph Lauren;BELTS;1237884;3614711503476;Logo Pebbled Leather Belt;#000000;BLACK;"An oversized version of our signature ""LRL"" plaque adds a bold note to this sleek belt.";S
Women;Polo Ralph Lauren;BELTS;1237884;3614711503483;Logo Pebbled Leather Belt;;BLACK;"An oversized version of our signature ""LRL"" plaque adds a bold note to this sleek belt.";M
Women;Polo Ralph Lauren;BELTS;1237884;3614711503490;Logo Pebbled Leather Belt;;BLACK;"An oversized version of our signature ""LRL"" plaque adds a bold note to this sleek belt.";L
Women;Polo Ralph Lauren;BELTS;1237884;3614711503506;Logo Pebbled Leather Belt;;BLACK;"An oversized version of our signature ""LRL"" plaque adds a bold note to this sleek belt.";XXL
Women;Polo Ralph Lauren;BELTS;1240344;3614711503513;Vachetta Leather Belt;;Lauren Tan;"An oversized version of our signature ""LRL"" plaque adds a bold note to this sleek belt.";XS
Women;Polo Ralph Lauren;BELTS;1240344;3614711503520;Vachetta Leather Belt;;Lauren Tan;"An oversized version of our signature ""LRL"" plaque adds a bold note to this sleek belt.";S
Women;Polo Ralph Lauren;BELTS;1240344;3614711503537;Vachetta Leather Belt;;Lauren Tan;"An oversized version of our signature ""LRL"" plaque adds a bold note to this sleek belt.";M
Women;Polo Ralph Lauren;BELTS;1240344;3614711503544;Vachetta Leather Belt;;Lauren Tan;"An oversized version of our signature ""LRL"" plaque adds a bold note to this sleek belt.";L
Women;Polo Ralph Lauren;BELTS;1240344;3614711503551;Vachetta Leather Belt;;Lauren Tan;"An oversized version of our signature ""LRL"" plaque adds a bold note to this sleek belt.";XXL
Children;Polo Ralph Lauren;GIRLS SS KNITS;1240352;3611586401050;Ruffled Cotton Mesh Polo;#FFFFFF;White W Currant Pp &;Our classic cotton mesh Polo shirt gets a playful twist with ruffled trim at the placket. ;SIZE 5
Children;Polo Ralph Lauren;GIRLS SS KNITS;1240352;3611586401067;Ruffled Cotton Mesh Polo;;White W Currant Pp &;Our classic cotton mesh Polo shirt gets a playful twist with ruffled trim at the placket. ;SIZE 6
Children;Polo Ralph Lauren;GIRLS SS KNITS;1240352;3611586400954;Ruffled Cotton Mesh Polo;;White W Currant Pp &;Our classic cotton mesh Polo shirt gets a playful twist with ruffled trim at the placket. ;TODDLER 2
Children;Polo Ralph Lauren;GIRLS SS KNITS;1240352;3611586400961;Ruffled Cotton Mesh Polo;;White W Currant Pp &;Our classic cotton mesh Polo shirt gets a playful twist with ruffled trim at the placket. ;TODDLER 3
Children;Polo Ralph Lauren;GIRLS SS KNITS;1240352;3611586400978;Ruffled Cotton Mesh Polo;#FFFFFF;White W Currant Pp &;Our classic cotton mesh Polo shirt gets a playful twist with ruffled trim at the placket. ;TODDLER 4
Men;Polo Ralph Lauren;UNDERWEAR;1242634;3614710779124;Stretch-Cotton-Trunk 3-Pack;#1f253b;3pk Cr Nvy/Cr Nvy/ Cr Nvy;This three-pack contains stretch-cotton trunks that are tailored for a snug fit and feature our signature “Polo Ralph Lauren” waistband.;XS
Men;Polo Ralph Lauren;UNDERWEAR;1242634;3614710779131;Stretch-Cotton-Trunk 3-Pack;#1f253b;3pk Cr Nvy/Cr Nvy/ Cr Nvy;This three-pack contains stretch-cotton trunks that are tailored for a snug fit and feature our signature “Polo Ralph Lauren” waistband.;S
Men;Polo Ralph Lauren;UNDERWEAR;1242634;3614710779148;Stretch-Cotton-Trunk 3-Pack;;3pk Cr Nvy/Cr Nvy/ Cr Nvy;This three-pack contains stretch-cotton trunks that are tailored for a snug fit and feature our signature “Polo Ralph Lauren” waistband.;M
Men;Polo Ralph Lauren;UNDERWEAR;1242634;3614710779155;Stretch-Cotton-Trunk 3-Pack;;3pk Cr Nvy/Cr Nvy/ Cr Nvy;This three-pack contains stretch-cotton trunks that are tailored for a snug fit and feature our signature “Polo Ralph Lauren” waistband.;L
Men;Polo Ralph Lauren;UNDERWEAR;1242634;3614710779162;Stretch-Cotton-Trunk 3-Pack;;3pk Cr Nvy/Cr Nvy/ Cr Nvy;This three-pack contains stretch-cotton trunks that are tailored for a snug fit and feature our signature “Polo Ralph Lauren” waistband.;XL
Women;Polo Ralph Lauren;DRESSES/SKIRTS;1248654;3614711894185;Striped Sleeveless Dress;;Black/Lighthouse Navy/Ivo;Tri-colored stripes define this fit-and-flare dress' sharp desk-to-dinner style.;0
Women;Polo Ralph Lauren;DRESSES/SKIRTS;1248654;3614711894192;Striped Sleeveless Dress;;Black/Lighthouse Navy/Ivo;Tri-colored stripes define this fit-and-flare dress' sharp desk-to-dinner style.;2
Women;Polo Ralph Lauren;DRESSES/SKIRTS;1248654;3614711894208;Striped Sleeveless Dress;;Black/Lighthouse Navy/Ivo;Tri-colored stripes define this fit-and-flare dress' sharp desk-to-dinner style.;4
Women;Polo Ralph Lauren;DRESSES/SKIRTS;1248654;3614711894215;Striped Sleeveless Dress;;Black/Lighthouse Navy/Ivo;Tri-colored stripes define this fit-and-flare dress' sharp desk-to-dinner style.;6
Women;Polo Ralph Lauren;DRESSES/SKIRTS;1248654;3614711894222;Striped Sleeveless Dress;;Black/Lighthouse Navy/Ivo;Tri-colored stripes define this fit-and-flare dress' sharp desk-to-dinner style.;8
Women;Polo Ralph Lauren;DRESSES/SKIRTS;1248654;3614711894239;Striped Sleeveless Dress;;Black/Lighthouse Navy/Ivo;Tri-colored stripes define this fit-and-flare dress' sharp desk-to-dinner style.;10
Women;Polo Ralph Lauren;DRESSES/SKIRTS;1248654;3614711894246;Striped Sleeveless Dress;;Black/Lighthouse Navy/Ivo;Tri-colored stripes define this fit-and-flare dress' sharp desk-to-dinner style.;12
Women;Polo Ralph Lauren;DRESSES/SKIRTS;1248654;3614711894253;Striped Sleeveless Dress;#1f253b;Black/Lighthouse Navy/Ivo;Tri-colored stripes define this fit-and-flare dress' sharp desk-to-dinner style.;14
Children;Polo Ralph Lauren;BOYS SS KNITS;1251766;3603759869934;Cotton Mesh Polo Shirt;#FFFFFF;White;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;SIZE 5
Children;Polo Ralph Lauren;BOYS SS KNITS;1251766;3603759869941;Cotton Mesh Polo Shirt;;White;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;SIZE 6
Children;Polo Ralph Lauren;BOYS SS KNITS;1251766;3603759869958;Cotton Mesh Polo Shirt;;White;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;SIZE 7
Children;Polo Ralph Lauren;BOYS SS KNITS;1251766;3603759846034;Cotton Mesh Polo Shirt;;White;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;TODDLER 2
Children;Polo Ralph Lauren;BOYS SS KNITS;1251766;3603759846041;Cotton Mesh Polo Shirt;;White;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;TODDLER 3
Children;Polo Ralph Lauren;BOYS SS KNITS;1251766;3603759846058;Cotton Mesh Polo Shirt;#FFFFFF;White;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;TODDLER 4
Children;Polo Ralph Lauren;BOYS SS KNITS;1251768;3664729418514;Cotton Mesh Polo Shirt;#fFFFFF;White;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;S
Children;Polo Ralph Lauren;BOYS SS KNITS;1251768;3664729418507;Cotton Mesh Polo Shirt;;White;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;M
Children;Polo Ralph Lauren;BOYS SS KNITS;1251768;3664729418491;Cotton Mesh Polo Shirt;;White;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;L
Children;Polo Ralph Lauren;BOYS SS KNITS;1251768;3664729418521;Cotton Mesh Polo Shirt;#FFFFFF;White;In lightweight, breathable cotton mesh, this Polo shirt is just as classic as Dad's, down to our signature embroidered pony at the chest.;XL
Women;Polo Ralph Lauren;BELTS;1253096;3615732425006;Reversible Leather Belt;#000000;Black/Bourbon;Perfect for when you want a touch of texture, this versatile belt reverses from an crosshatched side made from Saffiano leather to a pebbled faux-leather one.;XS
Women;Polo Ralph Lauren;BELTS;1253096;3615732422685;Reversible Leather Belt;;Black/Bourbon;Perfect for when you want a touch of texture, this versatile belt reverses from an crosshatched side made from Saffiano leather to a pebbled faux-leather one.;S
Women;Polo Ralph Lauren;BELTS;1253096;3615732422678;Reversible Leather Belt;;Black/Bourbon;Perfect for when you want a touch of texture, this versatile belt reverses from an crosshatched side made from Saffiano leather to a pebbled faux-leather one.;M
Women;Polo Ralph Lauren;BELTS;1253096;3615732422661;Reversible Leather Belt;;Black/Bourbon;Perfect for when you want a touch of texture, this versatile belt reverses from an crosshatched side made from Saffiano leather to a pebbled faux-leather one.;L
Women;Polo Ralph Lauren;BELTS;1253096;3615732422692;Reversible Leather Belt;;Black/Bourbon;Perfect for when you want a touch of texture, this versatile belt reverses from an crosshatched side made from Saffiano leather to a pebbled faux-leather one.;XXL
Children;Polo Ralph Lauren;BOYS SS KNITS;1283544;3664729418552;Cotton Mesh Polo Shirt;#1f253b;French Navy;"Made from easy-to-care-for cotton mesh, this Polo shirt is an everyday essential that you’ll both love.
";S
Children;Polo Ralph Lauren;BOYS SS KNITS;1283544;3664729418545;Cotton Mesh Polo Shirt;;French Navy;"Made from easy-to-care-for cotton mesh, this Polo shirt is an everyday essential that you’ll both love.
";M
Children;Polo Ralph Lauren;BOYS SS KNITS;1283544;3664729418538;Cotton Mesh Polo Shirt;;French Navy;"Made from easy-to-care-for cotton mesh, this Polo shirt is an everyday essential that you’ll both love.
";L
Children;Polo Ralph Lauren;BOYS SS KNITS;1283544;3664729418569;Cotton Mesh Polo Shirt;#1f253b;French Navy;"Made from easy-to-care-for cotton mesh, this Polo shirt is an everyday essential that you’ll both love.
";XL
Men;Polo Ralph Lauren;UNDERWEAR;1289685;5045019239893;Stretch Cotton Trunk 3-Pack;#1f253b;3pk Red/Navy Stripe/Navy;"This essential three-pack of classic trunks is crafted from soft cotton jersey that’s infused with stretch for all-day comfort.
";XS
Men;Polo Ralph Lauren;UNDERWEAR;1289685;5045019239886;Stretch Cotton Trunk 3-Pack;;3pk Red/Navy Stripe/Navy;"This essential three-pack of classic trunks is crafted from soft cotton jersey that’s infused with stretch for all-day comfort.
";S
Men;Polo Ralph Lauren;UNDERWEAR;1289685;5045019239879;Stretch Cotton Trunk 3-Pack;;3pk Red/Navy Stripe/Navy;"This essential three-pack of classic trunks is crafted from soft cotton jersey that’s infused with stretch for all-day comfort.
";M
Men;Polo Ralph Lauren;UNDERWEAR;1289685;5045019239909;Stretch Cotton Trunk 3-Pack;;3pk Red/Navy Stripe/Navy;"This essential three-pack of classic trunks is crafted from soft cotton jersey that’s infused with stretch for all-day comfort.
";L
Men;Polo Ralph Lauren;UNDERWEAR;1289685;5045019239916;Stretch Cotton Trunk 3-Pack;;3pk Red/Navy Stripe/Navy;"This essential three-pack of classic trunks is crafted from soft cotton jersey that’s infused with stretch for all-day comfort.
";XL
Men;Polo Ralph Lauren;KNITS;1312635;3615733738778;Custom Slim Interlock Polo;#2b2746;French Navy Multi;"An American style standard since 1972, the Polo shirt has been imitated but never matched. Over the decades, Ralph Lauren has reimagined his signature style in a wide array of colors and fits, yet all retain the quality and attention to detail of the iconic original. This floral-print version is made from luxe cotton interlock with an ultrasoft finish.
";XS
Men;Polo Ralph Lauren;KNITS;1312635;3615733738754;Custom Slim Interlock Polo;;French Navy Multi;"An American style standard since 1972, the Polo shirt has been imitated but never matched. Over the decades, Ralph Lauren has reimagined his signature style in a wide array of colors and fits, yet all retain the quality and attention to detail of the iconic original. This floral-print version is made from luxe cotton interlock with an ultrasoft finish.
";S
Men;Polo Ralph Lauren;KNITS;1312635;3615733738747;Custom Slim Interlock Polo;;French Navy Multi;"An American style standard since 1972, the Polo shirt has been imitated but never matched. Over the decades, Ralph Lauren has reimagined his signature style in a wide array of colors and fits, yet all retain the quality and attention to detail of the iconic original. This floral-print version is made from luxe cotton interlock with an ultrasoft finish.
";M
Men;Polo Ralph Lauren;KNITS;1312635;3615733738730;Custom Slim Interlock Polo;;French Navy Multi;"An American style standard since 1972, the Polo shirt has been imitated but never matched. Over the decades, Ralph Lauren has reimagined his signature style in a wide array of colors and fits, yet all retain the quality and attention to detail of the iconic original. This floral-print version is made from luxe cotton interlock with an ultrasoft finish.
";L
Men;Polo Ralph Lauren;KNITS;1312635;3615733738761;Custom Slim Interlock Polo;;French Navy Multi;"An American style standard since 1972, the Polo shirt has been imitated but never matched. Over the decades, Ralph Lauren has reimagined his signature style in a wide array of colors and fits, yet all retain the quality and attention to detail of the iconic original. This floral-print version is made from luxe cotton interlock with an ultrasoft finish.
";XL
Men;Polo Ralph Lauren;KNITS;1312635;3615733738785;Custom Slim Interlock Polo;;French Navy Multi;"An American style standard since 1972, the Polo shirt has been imitated but never matched. Over the decades, Ralph Lauren has reimagined his signature style in a wide array of colors and fits, yet all retain the quality and attention to detail of the iconic original. This floral-print version is made from luxe cotton interlock with an ultrasoft finish.
";XXL
Women;Polo Ralph Lauren;TEES/FLEECE;1316289;3615733829803;Crest Jersey T-Shirt;#FFFFFF;White;Made from smooth cotton jersey with a sophisticated crest at the front, this streamlined tee is an essential layering piece for the season.;XXS
Women;Polo Ralph Lauren;TEES/FLEECE;1316289;3615733829780;Crest Jersey T-Shirt;;White;Made from smooth cotton jersey with a sophisticated crest at the front, this streamlined tee is an essential layering piece for the season.;XS
Women;Polo Ralph Lauren;TEES/FLEECE;1316289;3615733829766;Crest Jersey T-Shirt;;White;Made from smooth cotton jersey with a sophisticated crest at the front, this streamlined tee is an essential layering piece for the season.;S
Women;Polo Ralph Lauren;TEES/FLEECE;1316289;3615733829759;Crest Jersey T-Shirt;;White;Made from smooth cotton jersey with a sophisticated crest at the front, this streamlined tee is an essential layering piece for the season.;M
Women;Polo Ralph Lauren;TEES/FLEECE;1316289;3615733829742;Crest Jersey T-Shirt;;White;Made from smooth cotton jersey with a sophisticated crest at the front, this streamlined tee is an essential layering piece for the season.;L
Women;Polo Ralph Lauren;TEES/FLEECE;1316289;3615733829773;Crest Jersey T-Shirt;;White;Made from smooth cotton jersey with a sophisticated crest at the front, this streamlined tee is an essential layering piece for the season.;XL
Women;Polo Ralph Lauren;TEES/FLEECE;1316289;3615733829797;Crest Jersey T-Shirt;#FFFFFF;White;Made from smooth cotton jersey with a sophisticated crest at the front, this streamlined tee is an essential layering piece for the season.;XXL
Men;Polo Ralph Lauren;UNDERWEAR;1319831;3615733596248;Stretch Cotton Trunk 3-Pack;;3pk Margie/Sapphire/Act O;"Each ultrasoft stretch cotton trunk in this essential three-pack is designed for all-day comfort. 
";XS
Men;Polo Ralph Lauren;UNDERWEAR;1319831;3615733596231;Stretch Cotton Trunk 3-Pack;;3pk Margie/Sapphire/Act O;"Each ultrasoft stretch cotton trunk in this essential three-pack is designed for all-day comfort. 
";S
Men;Polo Ralph Lauren;UNDERWEAR;1319831;3615733596224;Stretch Cotton Trunk 3-Pack;;3pk Margie/Sapphire/Act O;"Each ultrasoft stretch cotton trunk in this essential three-pack is designed for all-day comfort. 
";M
Men;Polo Ralph Lauren;UNDERWEAR;1319831;3615733596255;Stretch Cotton Trunk 3-Pack;;3pk Margie/Sapphire/Act O;"Each ultrasoft stretch cotton trunk in this essential three-pack is designed for all-day comfort. 
";L
Men;Polo Ralph Lauren;UNDERWEAR;1319831;3615733596262;Stretch Cotton Trunk 3-Pack;;3pk Margie/Sapphire/Act O;"Each ultrasoft stretch cotton trunk in this essential three-pack is designed for all-day comfort. 
";XL
Men;Polo Ralph Lauren;UNDERWEAR;1319838;3615733928841;Woven Cotton Boxer 3-Pack;;3pk Milton/Navy/Royal Aop;This pack includes three pairs of woven boxers made from lightweight cotton in a selection of vibrant patterns.;XS
Men;Polo Ralph Lauren;UNDERWEAR;1319838;3615733928834;Woven Cotton Boxer 3-Pack;;3pk Milton/Navy/Royal Aop;This pack includes three pairs of woven boxers made from lightweight cotton in a selection of vibrant patterns.;S
Men;Polo Ralph Lauren;UNDERWEAR;1319838;3615733928827;Woven Cotton Boxer 3-Pack;;3pk Milton/Navy/Royal Aop;This pack includes three pairs of woven boxers made from lightweight cotton in a selection of vibrant patterns.;M
Men;Polo Ralph Lauren;UNDERWEAR;1319838;3615733928858;Woven Cotton Boxer 3-Pack;;3pk Milton/Navy/Royal Aop;This pack includes three pairs of woven boxers made from lightweight cotton in a selection of vibrant patterns.;L
Men;Polo Ralph Lauren;UNDERWEAR;1319838;3615733928865;Woven Cotton Boxer 3-Pack;;3pk Milton/Navy/Royal Aop;This pack includes three pairs of woven boxers made from lightweight cotton in a selection of vibrant patterns.;XL
Men;Polo Ralph Lauren;UNDERWEAR;1319839;3615733928896;Woven Cotton Boxer 3-Pack;;3pk Hamilton St/Scottpld/;This pack includes three pairs of woven boxers made from lightweight cotton in a selection of vibrant patterns.;XS
Men;Polo Ralph Lauren;UNDERWEAR;1319839;3615733928889;Woven Cotton Boxer 3-Pack;;3pk Hamilton St/Scottpld/;This pack includes three pairs of woven boxers made from lightweight cotton in a selection of vibrant patterns.;S
Men;Polo Ralph Lauren;UNDERWEAR;1319839;3615733928872;Woven Cotton Boxer 3-Pack;;3pk Hamilton St/Scottpld/;This pack includes three pairs of woven boxers made from lightweight cotton in a selection of vibrant patterns.;M
Men;Polo Ralph Lauren;UNDERWEAR;1319839;3615733928902;Woven Cotton Boxer 3-Pack;;3pk Hamilton St/Scottpld/;This pack includes three pairs of woven boxers made from lightweight cotton in a selection of vibrant patterns.;L
Men;Polo Ralph Lauren;UNDERWEAR;1319839;3615733928919;Woven Cotton Boxer 3-Pack;;3pk Hamilton St/Scottpld/;This pack includes three pairs of woven boxers made from lightweight cotton in a selection of vibrant patterns.;XL
Men;Polo Ralph Lauren;UNDERWEAR;1319842;3615733929091;Stretch Cotton Trunk 3-Pack;;3pk Navy/Bermuda/Wte Aopp;"Each ultrasoft stretch cotton trunk in this essential three-pack is designed for all-day comfort. 
";XS
Men;Polo Ralph Lauren;UNDERWEAR;1319842;3615733929084;Stretch Cotton Trunk 3-Pack;;3pk Navy/Bermuda/Wte Aopp;"Each ultrasoft stretch cotton trunk in this essential three-pack is designed for all-day comfort. 
";S
Men;Polo Ralph Lauren;UNDERWEAR;1319842;3615733929077;Stretch Cotton Trunk 3-Pack;;3pk Navy/Bermuda/Wte Aopp;"Each ultrasoft stretch cotton trunk in this essential three-pack is designed for all-day comfort. 
";M
Men;Polo Ralph Lauren;UNDERWEAR;1319842;3615733929107;Stretch Cotton Trunk 3-Pack;;3pk Navy/Bermuda/Wte Aopp;"Each ultrasoft stretch cotton trunk in this essential three-pack is designed for all-day comfort. 
";L
Men;Polo Ralph Lauren;UNDERWEAR;1319842;3615733929114;Stretch Cotton Trunk 3-Pack;;3pk Navy/Bermuda/Wte Aopp;"Each ultrasoft stretch cotton trunk in this essential three-pack is designed for all-day comfort. 
";XL
